Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-16140.7	-16122.8	-17.8645	0.109356	0.116186	0.0740011	0.11599	0.108549	0.0972453	0.125361	0.0968076	0.103748	0.23467	0.0870144	0.110061	0.0949464	0.185048	0.140945	0.0995398	0.0721895	0.0969884	0.0890393	0.0693182	0.087946	0.125668	0.142066	0.0379767	0.0358796	0.0471279	0.0348907	0.0508841	0.0337336	0.0148779	0.0902766	0.0297213	0.0442169	0.000153092	0.0228674	0.00459858	0.0175439	0.023608	0.0328339	0.0162505	0.0383714	0.03239	0.0138243	3.20471
110	-16142.4	-16126.1	-16.3415	0.0914608	0.0983653	0.0751829	0.0869303	0.0973515	0.0993148	0.120508	0.110435	0.0910353	0.202687	0.0895722	0.109816	0.0807546	0.183116	0.133945	0.0794568	0.048522	0.106762	0.095422	0.0631631	0.106545	0.125668	0.144065	0.0652335	0.0363654	0.0518591	0.026359	0.0466866	0.0332029	0.0217604	0.0704223	0.0166884	0.0407336	0.000313746	0.0317343	0.0226454	0.015753	0.0223265	0.0202811	0.00952493	0.0394225	0.0152492	0.0257645	3.0524
120	-16106.3	-16088.6	-17.6996	0.115241	0.0951706	0.08879	0.102779	0.0912229	0.0868082	0.128315	0.0871787	0.110077	0.222051	0.0848167	0.103619	0.0929363	0.195967	0.164841	0.101123	0.083448	0.0963926	0.0978217	0.0648401	0.0796998	0.132313	0.12397	0.058911	0.0274585	0.0545814	0.043252	0.0366224	0.0305778	0.0277109	0.0656131	0.0308568	0.0299755	0.000151502	0.0206282	0.0456347	0.0106473	0.0292535	0.0213439	0.0132702	0.0375904	0.0207098	0.034005	3.18822
130	-16062.5	-16043.6	-18.8986	0.112165	0.12887	0.0816286	0.125164	0.0906478	0.100498	0.139356	0.0902589	0.10312	0.222051	0.115597	0.108042	0.0991717	0.184847	0.144803	0.108939	0.0602082	0.110744	0.0769628	0.0645548	0.0847081	0.133873	0.12397	0.0611773	0.0509241	0.0632156	0.0432948	0.0449937	0.0266126	0.0181665	0.069295	0.0183058	0.0335154	0.000184699	0.0331106	0.0367459	0.00534777	0.028735	0.0280336	0.0248789	0.0352266	0.0516521	0.0245164	3.30811
140	-15995.1	-15978.4	-16.6831	0.103244	0.100508	0.0805883	0.08626	0.0962031	0.100337	0.111866	0.0818099	0.100369	0.237591	0.0968906	0.103306	0.109643	0.187829	0.104074	0.0971515	0.0594032	0.0873016	0.0848813	0.0872449	0.0680175	0.12111	0.129918	0.0385077	0.0236192	0.0649617	0.0348265	0.0323864	0.033536	0.0370856	0.0794248	0.0149865	0.0241604	0.000204293	0.0302498	0.0289054	0.00181593	0.028735	0.0470109	0.0242322	0.0326274	0.051463	0.0222836	3.08657
150	-15872.8	-15856.3	-16.4258	0.116096	0.110892	0.0814999	0.0866686	0.0925784	0.105668	0.13312	0.0913226	0.118135	0.143847	0.0870307	0.114419	0.0873187	0.154084	0.149637	0.0815379	0.0436736	0.10389	0.0719329	0.0848735	0.0658626	0.120505	0.1205	0.00532485	0.0682781	0.0808767	0.0311584	0.0466861	0.0257676	0.0379395	0.047932	0.0221217	0.0228673	0.00132175	0.042748	0.0412996	0.00127294	0.0394322	0.0252692	0.0353502	0.0413898	0.0420951	0.0366095	3.06083
160	-15861.7	-15844.5	-17.1385	0.104558	0.12593	0.0568878	0.0746214	0.0911211	0.0997869	0.126441	0.0969254	0.109515	0.175266	0.104344	0.139841	0.0928826	0.154084	0.169339	0.0825116	0.0625292	0.086515	0.0705352	0.098442	0.0875997	0.141824	0.119263	0.00340501	0.0210296	0.0679477	0.0167523	0.0407554	0.0327249	0.0224586	0.0480971	0.0226929	0.0135657	0.00258463	0.0261411	0.0494512	0.00336249	0.0269708	0.0249065	0.075947	0.0320988	0.0629076	0.0675427	3.13211
170	-15853.2	-15837	-16.1824	0.0885648	0.105768	0.096652	0.0623077	0.101112	0.0836847	0.109655	0.0804241	0.125398	0.166645	0.0803363	0.111074	0.101317	0.142087	0.132221	0.0770366	0.0478677	0.0827823	0.0948929	0.0876783	0.0633711	0.136507	0.127181	0.00342032	0.0358795	0.0990919	0.0196955	0.0287345	0.0260368	0.025564	0.0463119	0.0217125	0.0259061	0.00633777	0.0414802	0.0466949	0.0106309	0.0186452	0.0434051	0.067317	0.0411611	0.0841217	0.0397857	3.0365
180	-15837.8	-15821.6	-16.268	0.096287	0.105147	0.0809268	0.0647366	0.100966	0.0835304	0.111663	0.0791583	0.101891	0.135784	0.0837455	0.126286	0.08215	0.163247	0.128706	0.0985715	0.0558259	0.100061	0.0841091	0.0703367	0.0697827	0.127393	0.13411	0.00587166	0.0392955	0.100071	0.0446974	0.035501	0.0283598	0.0302638	0.0300127	0.0199645	0.0345732	0.0161623	0.0337941	0.0404785	0.0204854	0.0178704	0.0215626	0.0834149	0.0699599	0.043125	0.0451797	3.04506
190	-15818.2	-15802.4	-15.7516	0.103861	0.107538	0.0939306	0.0914363	0.0984797	0.0856316	0.121646	0.0902787	0.111354	0.101892	0.071661	0.100626	0.096419	0.145029	0.143269	0.109434	0.0647852	0.100061	0.0709141	0.0893058	0.0832445	0.130852	0.107679	0.00991701	0.0291311	0.0868931	0.0162398	0.0378991	0.0260759	0.0243883	0.0182205	0.026733	0.0242909	0.0130716	0.0483639	0.0602642	0.0323799	0.0426747	0.0126323	0.0596294	0.0472375	0.0326333	0.0254138	2.99342
