Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	-16311.2	-16292.6	-18.5729	0.0838216	0.0945215	0.0600704	0.0927637	0.131502	0.141779	0.118132	0.208634	0.181932	0.120126	0.121791	0.0918344	0.131431	0.151811	0.0807842	0.106326	0.106903	0.0894013	0.0882252	0.09307	0.15055	0.0834827	0.105366	0.0171712	0.020555	0.0789457	0.0183849	0.0247459	0.0525215	0.0383916	0.0217543	0.0395718	0.0319017	0.00993989	0.0530979	0.0237394	0.00700986	0.00753726	0.0344643	0.0398388	0.0220882	0.0883259	0.0113022	3.27555
11	-16299.2	-16280.2	-18.9817	0.134839	0.0922493	0.0756332	0.0908526	0.131502	0.133982	0.137175	0.184911	0.16457	0.125213	0.118626	0.0719506	0.115804	0.124095	0.0810496	0.100065	0.117647	0.119005	0.10098	0.0766717	0.152728	0.081167	0.131544	0.0274407	0.0335383	0.0624786	0.012897	0.0244161	0.0561648	0.0273263	0.0217016	0.0460841	0.0288679	0.0141914	0.0389875	0.0302252	0.00130715	0.0138272	0.0446131	0.0313435	0.0308187	0.101405	0.00653103	3.31643
12	-16261.8	-16244.4	-17.4071	0.105711	0.0805913	0.0719989	0.106966	0.123426	0.129227	0.148143	0.185094	0.148734	0.125213	0.101451	0.0714766	0.109486	0.124095	0.0811589	0.116316	0.121671	0.0965728	0.0841756	0.0880668	0.152728	0.0786259	0.0863746	0.0199077	0.0533342	0.0821886	0.0113957	0.0211683	0.0480642	0.0493308	0.0215735	0.0269201	0.0309211	0.0109094	0.0208498	0.0284345	0.0027136	0.012848	0.0250546	0.0351457	0.018661	0.0936951	0.0085493	3.15897
13	-16257	-16239.6	-17.3914	0.115426	0.106131	0.0412253	0.0948595	0.119714	0.124254	0.125357	0.179556	0.157716	0.129416	0.101451	0.0694985	0.109049	0.131143	0.0762742	0.110258	0.0865526	0.0918811	0.0795774	0.0931508	0.163531	0.0959603	0.123056	0.0370891	0.0399718	0.0832347	0.00549113	0.0134144	0.0417446	0.0176003	0.0341755	0.0436579	0.0244829	0.0135845	0.0319166	0.0260879	0.00715198	0.0103045	0.0230252	0.0513887	0.0160401	0.0970298	0.0149651	3.15739
14	-16156.2	-16139	-17.1529	0.115426	0.0935617	0.0833221	0.0969681	0.147576	0.121219	0.107407	0.179556	0.157716	0.0988708	0.100683	0.0697478	0.10345	0.143172	0.0837623	0.139552	0.10223	0.0880793	0.0952784	0.0891746	0.144196	0.0843148	0.0916836	0.0323705	0.0367965	0.0504358	0.00642946	0.0091571	0.0465199	0.0119254	0.0238664	0.0341498	0.0160016	0.0186672	0.0316587	0.0231083	0.0176504	0.00901401	0.0251628	0.050496	0.0195391	0.0768176	0.0568335	3.13355
15	-16137.4	-16120.1	-17.283	0.113159	0.0819001	0.0678337	0.0936735	0.144201	0.110309	0.113078	0.209005	0.182857	0.115397	0.119415	0.087736	0.120405	0.13915	0.0717743	0.100808	0.104249	0.0977222	0.0767086	0.104339	0.148606	0.0865846	0.111211	0.0141215	0.0349757	0.0587614	0.0122363	0.0141996	0.0375283	0.0173142	0.0362252	0.0325294	0.0230094	0.0124758	0.0303616	0.0190532	0.0130458	0.0124095	0.00901988	0.0488437	0.0171259	0.0676812	0.0355163	3.14656
16	-16081.6	-16064.4	-17.1775	0.107028	0.0755632	0.0706444	0.0738553	0.144201	0.126511	0.140019	0.199183	0.179795	0.0876208	0.105406	0.0808436	0.123289	0.13915	0.0760429	0.11588	0.0884093	0.0946817	0.0929504	0.1096	0.116991	0.0759461	0.111211	0.0197719	0.0431559	0.0391244	0.0117359	0.0164979	0.0399291	0.0203476	0.0120749	0.0314422	0.0276128	0.0245903	0.0327282	0.0150768	0.00628492	0.0318708	0.0266714	0.0342973	0.0247493	0.101217	0.0420036	3.13601
17	-16053.5	-16035.2	-18.207	0.118615	0.0756239	0.0567603	0.102765	0.126659	0.148144	0.133181	0.179664	0.164712	0.0897284	0.116782	0.0794788	0.123289	0.12467	0.0708401	0.140248	0.0968791	0.0905839	0.0929504	0.0858026	0.130272	0.0968448	0.116192	0.0258994	0.0434551	0.0370448	0.0122669	0.0146253	0.045292	0.0226573	0.0229078	0.0382097	0.0418619	0.0158448	0.0330033	0.0151799	0.00187228	0.0668044	0.0450214	0.0391079	0.0387465	0.077991	0.040478	3.23896
18	-16050.5	-16034.1	-16.3877	0.109536	0.0953075	0.0630472	0.0804469	0.11197	0.0978576	0.116774	0.176957	0.164712	0.081366	0.120952	0.0970942	0.104622	0.140635	0.0875723	0.108763	0.107491	0.0903909	0.0994259	0.0867954	0.126842	0.0866356	0.0913677	0.0190504	0.0552953	0.0309589	0.0143015	0.014911	0.03437	0.0115084	0.0172243	0.0366294	0.0348108	0.0212828	0.0272246	0.0263218	0.00143153	0.055302	0.0333447	0.0487529	0.0157675	0.0757892	0.0361891	3.05703
19	-16036	-16018.2	-17.7542	0.099333	0.0858527	0.0484557	0.0908357	0.119147	0.120212	0.116036	0.183353	0.164712	0.094228	0.127609	0.0629032	0.119138	0.140635	0.0781149	0.144084	0.11928	0.0896045	0.109569	0.0952841	0.10242	0.085499	0.11266	0.0384882	0.0495697	0.0516269	0.0190759	0.0333715	0.0356336	0.00887502	0.0154496	0.0362129	0.0421107	0.0276474	0.0230686	0.0405539	0.00223881	0.0446067	0.0380202	0.039225	0.0268305	0.0678923	0.0442141	3.19368
