Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-17832.3	-17801.9	-30.3468	0.905144	0.249855	0.269213	0.164354	0.123812	0.0142619	0.00759436	0.0333371	0.014605	0.219127	0.168226	0.0753525	0.0199223	0.0216911	0.0652266	0.456053	0.144227	0.0164176	0.222656	0.0665763	0.0797049	0.0584082	0.0441631	0.0994848	0.0436818	0.0038725	0.0862229	0.0862724	0.137528	0.176556	0.147278	0.51321	0.0560442	0.0766498	0.00452487	0.206309	0.0233625	0.109149	0.220768	0.259818	0.00803611	0.0259619	0.120841	0.0338471	0.199937	0.159639	0.230968	0.0905268	0.208731	0.110197	0.117661	0.446259	0.982314	2.45377	0.107972	0.541323	0.053149	0.297556	4.9742
10	-14822.3	-14795.4	-26.8935	0.227418	0.078081	0.256629	0.13292	0.168083	0.0571924	0.0762499	0.0422386	0.0591948	0.348707	0.211188	0.176306	0.0715516	0.0589281	0.0683711	0.219689	0.309404	0.0357927	0.241345	0.23104	0.154276	0.100543	0.0846361	0.177403	0.0850952	0.00506836	0.0104687	0.240284	0.0232023	0.0231205	0.0411184	0.192228	0.12875	0.03019	0.00376282	0.11293	0.0343156	0.0705171	0.105694	0.0910945	0.00519228	0.0173884	0.0599408	0.0124592	0.106749	0.500685	0.00342343	0.0268919	0.303415	0.0588358	0.00122085	0.0509387	0.451387	3.49645	0.305803	0.3469	0.0702577	0.277039	4.65259
20	-14214.7	-14173.6	-41.0962	0.318301	0.182929	0.1805	0.19058	0.14891	0.180124	0.336663	0.234891	0.140099	0.43315	0.0923572	0.268364	0.148737	0.151657	0.217996	0.234619	0.113466	0.0710187	0.356465	0.259657	0.203708	0.102305	0.193943	0.20734	0.0627878	0.00331639	0.0339605	0.307256	0.020804	0.104291	0.0708504	0.0323526	0.0829778	0.19173	0.00726934	0.0958045	0.0249284	0.0472545	0.134063	0.056767	0.00147458	0.0579971	0.0731839	0.0111325	0.106407	0.499081	0.00341246	0.0300105	0.302442	0.0586472	0.00689683	0.118787	0.625295	3.24902	0.309617	0.351227	0.0586618	0.280494	6.06968
30	-14124.5	-14078.1	-46.4266	0.341551	0.0994295	0.184964	0.219058	0.205577	0.167817	0.338308	0.234891	0.163769	0.37822	0.101694	0.253467	0.190053	0.263887	0.353008	0.346541	0.104225	0.180573	0.275804	0.439198	0.21723	0.0768577	0.167003	0.279242	0.0609771	0.00284379	0.0728448	0.257589	0.0342636	0.021579	0.0562801	0.107607	0.0562265	0.156804	0.0433084	0.0416367	0.0221893	0.124118	0.103417	0.0525123	0.000454672	0.0349367	0.0628771	0.0486201	0.0993402	0.533458	0.00318583	0.0280174	0.282356	0.0536424	0.00926226	0.136973	0.659419	3.19435	0.309617	0.351227	0.0586618	0.280494	6.6019
40	-14039.5	-13978.2	-61.3344	0.288794	0.179865	0.153488	0.301407	0.243535	0.260254	0.351879	0.31613	0.216566	0.47865	0.170998	0.324209	0.189441	0.332873	0.348735	0.361865	0.125448	0.238584	0.468812	0.505579	0.369448	0.0651702	0.238062	0.354425	0.0555244	0.00255149	0.0555346	0.318458	0.169332	0.0163245	0.056361	0.150292	0.0115589	0.206545	0.0568758	0.0291727	0.0307718	0.0789195	0.0928401	0.116732	0.000797803	0.0168944	0.0105722	0.0230449	0.0719815	0.511566	0.00349236	0.0307132	0.309524	0.072723	0.00443042	0.0958109	0.576495	3.32326	0.309617	0.351227	0.0586618	0.280494	8.09453
50	-13639.9	-13582.8	-57.0688	0.297605	0.199492	0.202533	0.277032	0.243535	0.212654	0.298478	0.385568	0.254322	0.382644	0.154664	0.275865	0.185532	0.427603	0.172052	0.465294	0.184749	0.228046	0.149564	0.62652	0.282952	0.0613554	0.20939	0.359284	0.076156	0.00516028	0.0662032	0.0833858	0.2396	0.0375244	0.0154284	0.100041	0.0357974	0.22354	0.0541644	0.0215652	0.0244314	0.127868	0.156321	0.0772643	0.00175102	0.00676792	0.0236324	0.051934	0.0697673	0.526591	0.00338493	0.0297684	0.300002	0.070486	0.00510303	0.102633	0.591758	3.30051	0.309617	0.351227	0.0586618	0.280494	7.66766
60	-13420.7	-13367.3	-53.3435	0.309633	0.22183	0.194611	0.299707	0.295277	0.190179	0.296021	0.403628	0.272114	0.258941	0.127929	0.20225	0.185335	0.398068	0.254371	0.474539	0.127569	0.241891	0.148315	0.188264	0.372985	0.054941	0.236935	0.324933	0.0272883	0.0125879	0.0122706	0.00707963	0.223594	0.0294402	0.00319402	0.0522929	0.083483	0.256133	0.229879	0.0172496	0.0236765	0.0510247	0.226496	0.0550956	0.00175202	0.00943464	0.0108671	0.191236	0.0646261	0.528139	0.00313549	0.0275748	0.311233	0.0652918	0.0061092	0.112007	0.611631	3.27025	0.332704	0.339482	0.0567001	0.271115	7.29471
70	-13370.5	-13320.2	-50.2937	0.28971	0.192194	0.189819	0.264331	0.28978	0.161416	0.333212	0.351898	0.240049	0.246552	0.148301	0.209732	0.197659	0.420088	0.312905	0.460337	0.141471	0.174872	0.12969	0.201407	0.290087	0.073427	0.178738	0.305518	0.114047	0.0200469	0.0364455	0.0256628	0.193536	0.0349556	0.000968069	0.0440243	0.0333234	0.196422	0.141718	0.0249693	0.00633357	0.0532396	0.195781	0.0648475	0.00250209	0.0126022	0.00713624	0.268381	0.0646261	0.528139	0.00313549	0.0275748	0.311233	0.0652918	0.00449782	0.0965181	0.578111	3.32087	0.31693	0.370798	0.0540119	0.258261	6.99043
80	-13338	-13288.3	-49.6361	0.274695	0.18553	0.219114	0.221513	0.27565	0.205336	0.290348	0.271171	0.233584	0.264003	0.122408	0.222174	0.211483	0.360525	0.30857	0.524409	0.145617	0.248409	0.17025	0.185064	0.249328	0.0714838	0.181042	0.277479	0.0905433	0.0396266	0.0507296	0.0763561	0.135665	0.0316563	0.000519207	0.0160728	0.0464115	0.251018	0.142107	0.0403396	0.00983531	0.0248979	0.230907	0.0253395	0.00223587	0.0121276	0.00425727	0.250058	0.0523336	0.566305	0.00253909	0.0223298	0.279079	0.0774139	0.00346755	0.0850173	0.550756	3.36076	0.32375	0.367095	0.0534726	0.255682	6.9252
90	-13293	-13245.1	-47.8878	0.283933	0.182475	0.22893	0.220332	0.299785	0.156349	0.292841	0.274766	0.269319	0.276542	0.167749	0.182015	0.208567	0.311473	0.270299	0.530384	0.116678	0.257445	0.124022	0.132155	0.283775	0.0682534	0.192595	0.241001	0.0399117	0.107139	0.0307696	0.029289	0.143828	0.0140383	0.000192397	0.0323005	0.0140575	0.353648	0.131308	0.0257893	0.0567404	0.0611545	0.114204	0.0439811	0.00331294	0.0157171	0.0121754	0.232737	0.044046	0.501269	0.0022475	0.0284333	0.297494	0.12651	0.0040827	0.0920698	0.567807	3.33604	0.32375	0.367095	0.0534726	0.255682	6.75004
