Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-16160	-16142.2	-17.7817	0.127924	0.107165	0.108387	0.0859379	0.0949713	0.126782	0.21502	0.0932886	0.084997	0.113795	0.14344	0.0780167	0.09483	0.10399	0.108066	0.0589508	0.134305	0.162796	0.122785	0.122522	0.0927442	0.0987976	0.108023	0.0126452	0.0403935	0.0311793	0.0108576	0.0324238	0.020818	0.0243306	0.0426677	0.0140606	0.0197967	0.070173	0.0267365	0.0163241	0.0507772	0.0290791	0.0156043	0.0198195	0.0148096	0.0972253	0.0191731	3.19643
110	-16109	-16090.4	-18.5852	0.127924	0.101747	0.0992645	0.0835364	0.0682427	0.109049	0.21502	0.10089	0.074417	0.100456	0.17352	0.0832327	0.0883683	0.115706	0.104941	0.0505966	0.137962	0.161291	0.160993	0.127026	0.101145	0.121936	0.0927768	0.013856	0.0303358	0.0363297	0.0229433	0.0253606	0.0571848	0.0343211	0.0706958	0.00848146	0.0648109	0.0530054	0.0289089	0.00925203	0.0133964	0.0139698	0.0464725	0.0351772	0.0233405	0.0767392	0.0121527	3.27677
120	-16036.2	-16018.5	-17.7546	0.122217	0.115427	0.127688	0.0753212	0.110558	0.111116	0.192922	0.0911993	0.0707463	0.102425	0.17352	0.0579671	0.0890183	0.0804475	0.0950535	0.0647588	0.153004	0.155643	0.138976	0.0963086	0.102651	0.114349	0.102832	0.0651793	0.0329505	0.0233689	0.0153229	0.0283687	0.0293864	0.0177378	0.066467	0.00460403	0.0527869	0.0455362	0.0292602	0.0268411	0.0114407	0.035846	0.0364176	0.0210167	0.00533671	0.0718923	0.0298073	3.19372
130	-16025.8	-16009.3	-16.5162	0.108389	0.0970031	0.10558	0.0681231	0.0758292	0.095075	0.184447	0.0885283	0.0738219	0.101413	0.118403	0.0737846	0.101025	0.0997472	0.098562	0.0661746	0.13272	0.15577	0.152843	0.089585	0.0849304	0.0965771	0.105785	0.0660065	0.0370603	0.0189276	0.0139387	0.0307181	0.0294979	0.024949	0.0478148	0.014074	0.0611177	0.0522294	0.027551	0.0103675	0.0133633	0.050884	0.0316499	0.0459956	0.0169484	0.0712708	0.0313964	3.06988
140	-15996.7	-15979.5	-17.2553	0.117013	0.103398	0.145799	0.0832255	0.095563	0.0917009	0.173495	0.0922696	0.0819882	0.0891024	0.126055	0.0708946	0.0901777	0.0844435	0.104151	0.0510324	0.126013	0.155164	0.136254	0.113944	0.0975422	0.0974217	0.107137	0.0765278	0.0363924	0.0364409	0.0140356	0.0355636	0.0298337	0.0320093	0.0664595	0.0163922	0.0491029	0.0310375	0.0304841	0.0157824	0.00590119	0.0632517	0.0211639	0.0243068	0.0105984	0.0740704	0.0406437	3.14378
150	-15933	-15916.3	-16.6643	0.120481	0.100429	0.111445	0.0832255	0.0805418	0.0928583	0.187947	0.0805913	0.0714448	0.0976138	0.130887	0.069975	0.0839396	0.103133	0.10313	0.059166	0.13394	0.163258	0.136254	0.109575	0.105747	0.110567	0.0953364	0.0518885	0.030783	0.0193772	0.01838	0.0356519	0.0322802	0.0335528	0.0520381	0.00747452	0.0500476	0.0177198	0.0319238	0.0166796	0.0194026	0.0612477	0.0345412	0.0254891	0.00512886	0.0744597	0.0351304	3.08468
160	-15898.8	-15882.3	-16.4179	0.112373	0.0809215	0.131844	0.067564	0.0735148	0.0694552	0.12767	0.0833067	0.076093	0.100482	0.148584	0.0582889	0.0839396	0.0854859	0.0938012	0.0429365	0.13394	0.154324	0.140819	0.119646	0.0904967	0.107966	0.116665	0.060299	0.0505863	0.0329283	0.00823331	0.0344124	0.0360612	0.0371351	0.0713594	0.0289978	0.0492408	0.0162167	0.0400508	0.0129633	0.0489806	0.0442729	0.0387028	0.0196088	0.00268322	0.0974602	0.0297393	3.06005
170	-15885.1	-15868.4	-16.7273	0.128582	0.0742716	0.102292	0.0961912	0.0880825	0.0724609	0.1475	0.0773851	0.0692658	0.0946873	0.14109	0.0768097	0.0999254	0.0887849	0.0981166	0.0600945	0.139996	0.16427	0.128341	0.113929	0.105343	0.0913432	0.122404	0.0382879	0.0294171	0.0296228	0.0272015	0.038613	0.0200225	0.0259336	0.0808139	0.0509451	0.0388739	0.00858614	0.0300598	0.0123371	0.0860694	0.0517752	0.0278986	0.0174464	0.00243238	0.0792631	0.0142155	3.09098
180	-15865.8	-15849.6	-16.2151	0.112696	0.077642	0.131289	0.0670768	0.0657756	0.0848285	0.18172	0.110894	0.0786324	0.0929029	0.118982	0.0756445	0.111775	0.107922	0.0968422	0.0589191	0.11685	0.147478	0.120198	0.0922808	0.0867815	0.0990323	0.108816	0.0589276	0.0525058	0.031137	0.0153498	0.0314511	0.0358612	0.0251427	0.0443224	0.0484077	0.0286558	0.010928	0.0186187	0.0156632	0.0739695	0.0486199	0.0200607	0.0245894	0.0269203	0.0681579	0.015491	3.03976
190	-15820.8	-15805.4	-15.3725	0.113638	0.0632051	0.118898	0.0686526	0.0771307	0.0779463	0.120827	0.0905109	0.0664817	0.0625136	0.122883	0.0705644	0.0937942	0.0846529	0.0820061	0.076135	0.11685	0.169334	0.118938	0.0927643	0.101637	0.113669	0.114501	0.068517	0.0390413	0.0198091	0.0189546	0.0476038	0.0413558	0.02726	0.0571937	0.0364388	0.0198582	0.0209449	0.0196366	0.0112315	0.0568601	0.0442383	0.0267999	0.0181485	0.0343593	0.115339	0.0143862	2.95551
