Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19350.8	-19318.2	-32.5752	0.00100462	0.177442	0.0345479	0.0367611	0.176227	0.0839591	0.0143898	0.0828841	0.157993	0.0275231	0.0168233	0.162589	0.0478308	0.188628	0.202781	0.020258	0.433463	0.162041	0.0410405	0.0302042	0.0635505	0.0777733	0.0794406	0.16781	0.0944945	0.105369	0.0403894	0.218724	0.102524	0.0313165	0.187753	0.121977	0.149622	0.115247	0.01673	0.0305307	0.205851	0.11248	0.0132359	0.15166	0.0275556	0.442923	0.0204316	4.67578
10	-17894.5	-17872.1	-22.3547	0.00343455	0.173598	0.0766082	0.115223	0.14454	0.0752222	0.0463838	0.155399	0.164531	0.108007	0.103343	0.217768	0.0703656	0.173791	0.169778	0.0595049	0.138437	0.137695	0.0588343	0.141979	0.126646	0.0894903	0.0847866	0.0466762	0.107408	0.0336261	0.0162592	0.105741	0.0641929	0.0181107	0.0376419	0.0326269	0.0568088	0.0254678	0.0163521	0.0244701	0.0853262	0.105232	0.037033	0.063089	0.0213968	0.0922302	0.0286716	3.65373
20	-17387.6	-17365.1	-22.4906	0.00690008	0.173598	0.0784731	0.103519	0.176975	0.0762607	0.119311	0.181917	0.164531	0.116825	0.162449	0.209731	0.100993	0.188683	0.202592	0.0865263	0.147041	0.126017	0.07775	0.170822	0.0957085	0.118391	0.0997631	0.0266806	0.107408	0.0304866	0.0211052	0.054249	0.0440575	0.0096348	0.0750612	0.014955	0.0505649	0.00379695	0.0139951	0.00669788	0.0310923	0.0174074	0.0556491	0.0146051	0.011984	0.0578741	0.0352318	3.66731
30	-17202.8	-17182.1	-20.7053	0.0283938	0.104822	0.073009	0.123023	0.152628	0.0663167	0.129338	0.217333	0.128955	0.116695	0.201763	0.209088	0.100215	0.171518	0.165187	0.0985783	0.140507	0.11612	0.121286	0.160801	0.0796807	0.0934861	0.100054	0.0333165	0.105644	0.0166809	0.0109616	0.0252118	0.0249377	0.00587564	0.0976379	0.0128219	0.022422	0.00814653	0.0239046	0.00486769	0.0319065	0.0336728	0.0463794	0.00218902	0.0163163	0.0249395	0.0421523	3.48878
40	-16629.6	-16610	-19.5706	0.0983119	0.100359	0.0742852	0.144588	0.11948	0.086015	0.121173	0.185768	0.142166	0.121073	0.219135	0.149022	0.0896036	0.180547	0.190594	0.0830596	0.0765855	0.135885	0.119938	0.103142	0.0912186	0.0811825	0.0853383	0.0409863	0.0749983	0.0062375	0.0378323	0.0434429	0.0432674	0.0124138	0.0383346	0.0335271	0.00561026	0.00652945	0.0279839	0.00919195	0.0293645	0.012545	0.0395802	0.000928136	0.0182662	0.0432416	0.0525627	3.37531
50	-16461.7	-16441.8	-19.8696	0.110673	0.129307	0.0876429	0.117042	0.101925	0.0820012	0.114949	0.240371	0.152603	0.12131	0.177923	0.187001	0.0802161	0.162829	0.131586	0.0752633	0.0799968	0.109828	0.135583	0.099518	0.104701	0.0777425	0.0970531	0.0276974	0.0306626	0.0046564	0.0309949	0.0574117	0.093169	0.0457697	0.0400629	0.092686	0.0123164	0.0099065	0.00408066	0.00968256	0.0187785	0.0337274	0.0363755	0.000670977	0.00932432	0.039006	0.0311707	3.40522
60	-16425.5	-16405.3	-20.1227	0.0908817	0.104618	0.118965	0.122199	0.122907	0.0781395	0.143341	0.223702	0.150869	0.109322	0.184526	0.157662	0.108344	0.153454	0.131586	0.0776092	0.0835481	0.118578	0.151698	0.105842	0.0932159	0.105096	0.0840767	0.0292448	0.023066	0.0277795	0.0347733	0.054688	0.0913187	0.0259476	0.0513814	0.0752717	0.0245267	0.0178546	0.00601211	0.00817944	0.0144045	0.0255531	0.0168342	0.000616291	0.0150494	0.0351374	0.0327111	3.43053
70	-16235.2	-16216.9	-18.3739	0.0908817	0.102653	0.100169	0.103735	0.104379	0.0886912	0.121345	0.204835	0.133338	0.108257	0.162602	0.174635	0.0808883	0.135833	0.136473	0.0823759	0.0729935	0.0944521	0.148351	0.0976875	0.117288	0.104185	0.0722786	0.0248648	0.0211866	0.034844	0.0363706	0.0376146	0.052882	0.0336714	0.0395257	0.0941555	0.0577237	0.0281321	0.00758904	0.00945987	0.0154437	0.0225392	0.0273408	0.00139089	0.00878219	0.0329262	0.0308696	3.25564
80	-15967.6	-15949.4	-18.2369	0.105019	0.141824	0.112119	0.0639975	0.0879066	0.0810078	0.0757303	0.172859	0.102102	0.120221	0.141241	0.143555	0.0968714	0.124206	0.127842	0.0861385	0.0718267	0.131613	0.131615	0.0955436	0.0984255	0.0694656	0.121139	0.0349446	0.0201704	0.034844	0.115986	0.0164992	0.0383463	0.0334548	0.0274713	0.133228	0.0692748	0.0502517	0.0154911	0.0176313	0.0226713	0.0045096	0.0219358	0.00216862	0.0353212	0.0141993	0.0312764	3.24194
90	-15913.8	-15896.3	-17.4974	0.102343	0.0979311	0.0789153	0.0697047	0.080264	0.0810078	0.077035	0.144065	0.111346	0.106039	0.164711	0.126181	0.0966222	0.111193	0.132179	0.0845863	0.0719811	0.131613	0.144558	0.109359	0.135941	0.0996434	0.116855	0.0315166	0.0172344	0.0389787	0.121878	0.00723829	0.0306777	0.0483484	0.017771	0.0855847	0.0625627	0.0154749	0.0263504	0.0233762	0.0150612	0.00391302	0.0446166	0.00173122	0.0355928	0.00986988	0.0561464	3.168
100	-15912.6	-15895.3	-17.2675	0.0816636	0.077586	0.101609	0.0535731	0.115101	0.0780646	0.0608583	0.134051	0.112634	0.081988	0.160415	0.137767	0.110197	0.124623	0.138503	0.0752605	0.0795929	0.131841	0.140422	0.103986	0.123365	0.0760735	0.126209	0.0313205	0.0188275	0.0455673	0.100425	0.0163761	0.0243124	0.0602123	0.0259973	0.117238	0.0420969	0.0303609	0.0240595	0.0184344	0.0292517	0.00154623	0.0412995	0.00398783	0.0429351	0.00742267	0.0379442	3.145
110	-15902.7	-15885.5	-17.1244	0.11774	0.0931057	0.0821301	0.0555742	0.113145	0.0674406	0.0850769	0.136347	0.103147	0.0849728	0.155596	0.166607	0.0985664	0.094839	0.136755	0.0855845	0.0617638	0.140804	0.110507	0.0887322	0.0911849	0.0832625	0.11165	0.027723	0.0186016	0.0443198	0.113477	0.0137261	0.0348944	0.058351	0.02451	0.122658	0.0596556	0.0190592	0.0406018	0.0155318	0.0301373	0.00128663	0.0341915	0.0163566	0.0567429	0.00426923	0.0300694	3.13069
120	-15890.6	-15873.3	-17.2314	0.0941939	0.0804136	0.0738744	0.0789336	0.115736	0.0766576	0.0838389	0.123879	0.116889	0.113526	0.155014	0.143681	0.103042	0.101075	0.131524	0.096418	0.0906614	0.154956	0.108823	0.0948516	0.109432	0.0704819	0.0960374	0.0374189	0.0172938	0.0444065	0.108167	0.00836024	0.0265274	0.0509409	0.021204	0.105368	0.0730708	0.01604	0.043584	0.0135988	0.0161183	0.00335851	0.0402169	0.0268936	0.0404478	0.00843699	0.0259985	3.14139
