Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
10	-16254.6	-16236	-18.568	0.0970078	0.104501	0.0839681	0.101357	0.112456	0.0818003	0.0754525	0.0830467	0.151927	0.10318	0.179331	0.120067	0.0853579	0.117609	0.128866	0.0944385	0.104466	0.154395	0.148403	0.105122	0.120544	0.0934675	0.104281	0.0194291	0.0254717	0.00642284	0.0152206	0.0246557	0.0409671	0.0830554	0.0165633	0.0495419	0.0210628	0.134759	0.0119888	0.0511152	0.0195572	0.00950984	0.0651186	0.0312829	0.0157183	0.0286085	0.0539611	3.27505
11	-16237.8	-16219.1	-18.6896	0.100751	0.130109	0.0977133	0.0975586	0.11178	0.0818003	0.0891607	0.0868671	0.153957	0.0921101	0.168021	0.119936	0.0931051	0.123752	0.129592	0.0787696	0.0838099	0.181293	0.170314	0.0889468	0.087469	0.0843862	0.093145	0.0214915	0.0201902	0.00960657	0.0326049	0.0248741	0.0550443	0.0627705	0.0556107	0.0771681	0.0162491	0.111874	0.013877	0.0408932	0.0217871	0.0253009	0.0423518	0.0422813	0.0267098	0.0279514	0.0142271	3.28721
12	-16208.4	-16189.9	-18.5134	0.0812283	0.0919815	0.0878906	0.0977816	0.147253	0.0708581	0.086165	0.114401	0.15355	0.0805011	0.180131	0.117403	0.0954428	0.12937	0.119179	0.0717798	0.0833863	0.170658	0.138182	0.108985	0.0893196	0.0976832	0.0979377	0.0236444	0.0223839	0.00338033	0.0225249	0.0382222	0.0456659	0.0866782	0.0565173	0.0563158	0.0164242	0.109894	0.00957943	0.0279566	0.0304864	0.0149431	0.0490575	0.0523375	0.0111155	0.0455581	0.0358439	3.2696
13	-16045.5	-16028.5	-16.9395	0.0883897	0.107522	0.0849483	0.0821631	0.118041	0.0648339	0.0749222	0.107571	0.133518	0.0970468	0.164605	0.118525	0.0909289	0.133041	0.133669	0.0730695	0.0855671	0.152563	0.119859	0.108985	0.0950968	0.0916044	0.0981489	0.0365518	0.0178276	0.0108994	0.0176661	0.00341411	0.0490089	0.0431162	0.069211	0.0704874	0.0158579	0.0834534	0.0201644	0.0271618	0.0267364	0.0362146	0.0545507	0.0431508	0.0134776	0.0160623	0.0325715	3.1122
14	-15924.3	-15907.8	-16.4988	0.0784676	0.107522	0.0854004	0.0350876	0.114456	0.065501	0.0744227	0.115204	0.133638	0.0852886	0.164605	0.120438	0.105398	0.107206	0.137872	0.0755125	0.0796648	0.171558	0.0960049	0.0916784	0.110015	0.079819	0.0785694	0.0342339	0.0250174	0.0196089	0.0180354	0.00588933	0.0557639	0.0377068	0.0676343	0.0700061	0.0526284	0.0355948	0.0460632	0.0433469	0.0366686	0.0647102	0.0483905	0.0313513	0.0329317	0.0102248	0.0189934	3.06813
15	-15916	-15899.8	-16.2299	0.0789003	0.0904546	0.0752655	0.0587431	0.0945463	0.0769177	0.071538	0.115204	0.117697	0.0852886	0.165993	0.133931	0.0980622	0.104258	0.134963	0.074734	0.0926412	0.122528	0.117628	0.0882055	0.104167	0.0922508	0.0970049	0.0286211	0.0233132	0.0179553	0.0291985	0.0172956	0.0305102	0.0471126	0.0518455	0.073381	0.0716604	0.0252256	0.0303754	0.0347512	0.0298978	0.106555	0.0428363	0.0284423	0.0238549	0.00834743	0.0291397	3.04124
16	-15812.8	-15797	-15.8111	0.0984601	0.0828308	0.080233	0.061396	0.0984729	0.075074	0.0688513	0.10798	0.121712	0.0798653	0.124887	0.114473	0.100482	0.124748	0.125122	0.0698005	0.0871549	0.111312	0.144832	0.0767921	0.109969	0.0833687	0.0921328	0.0322865	0.0206811	0.0235478	0.0136146	0.0210389	0.0522749	0.0271337	0.033589	0.0339716	0.0952162	0.0320535	0.0497698	0.0263476	0.0420128	0.0769849	0.0499772	0.0461676	0.0402294	0.0174377	0.0250773	2.99936
17	-15809.2	-15792	-17.2603	0.0920026	0.0860034	0.0856081	0.0874691	0.117442	0.0739959	0.0891066	0.105227	0.107618	0.0887663	0.163704	0.150257	0.0845519	0.113717	0.157208	0.0723754	0.0856954	0.100075	0.11747	0.082921	0.105981	0.108751	0.0921328	0.0216662	0.0292781	0.022408	0.019879	0.0279748	0.0470261	0.0129634	0.0442882	0.0318938	0.104798	0.0491418	0.0422712	0.0302049	0.0326462	0.0623111	0.0460845	0.036129	0.0475729	0.0359903	0.0316749	3.14428
18	-15809.9	-15794	-15.8607	0.0801882	0.107024	0.0644581	0.0670043	0.105044	0.080365	0.0567608	0.100739	0.111178	0.0675181	0.161741	0.138989	0.091216	0.113717	0.129623	0.0728228	0.0837806	0.121906	0.139714	0.0956218	0.0948698	0.0828879	0.107611	0.032735	0.014958	0.0182637	0.0264995	0.0287198	0.0420148	0.0113966	0.041079	0.038273	0.0624537	0.0590628	0.0418877	0.0200705	0.0384617	0.0796669	0.0379771	0.049711	0.0338009	0.0280128	0.0245028	3.00433
19	-15815.6	-15798.9	-16.7117	0.0797657	0.0825144	0.1097	0.0680982	0.0971896	0.0827028	0.080428	0.11942	0.0946033	0.0642088	0.133504	0.133797	0.0977154	0.122341	0.149194	0.070597	0.0842541	0.105119	0.134103	0.0770701	0.110411	0.080338	0.10603	0.0287674	0.02481	0.0138524	0.0146275	0.0255886	0.0421726	0.00481137	0.0332866	0.040291	0.0824131	0.0702034	0.056359	0.0321437	0.0526979	0.0993577	0.0342506	0.0363075	0.035966	0.0458078	0.0326069	3.08943
20	-15806	-15790.3	-15.677	0.101116	0.107006	0.0743602	0.0735436	0.0976002	0.0559353	0.0584775	0.109189	0.0909471	0.0823627	0.138541	0.134898	0.100427	0.112292	0.1392	0.0807978	0.0890365	0.113382	0.111967	0.0659955	0.0994201	0.0791322	0.100256	0.0163897	0.0253806	0.00647882	0.0239318	0.0330742	0.0531882	0.00326866	0.0442109	0.0278752	0.0821619	0.0628345	0.0323016	0.0333206	0.0511958	0.0746898	0.0477109	0.0446757	0.0448413	0.0394519	0.0230881	2.98595
