Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
100	-15959.4	-15942.4	-16.9841	0.12427	0.0879201	0.0823074	0.112679	0.134888	0.089581	0.0897247	0.144493	0.185012	0.0822725	0.118324	0.0845536	0.0905349	0.0868154	0.0708947	0.0843105	0.0940536	0.121314	0.11493	0.0929517	0.0964057	0.107705	0.0979915	0.0586366	0.00888356	0.0123118	0.0162406	0.0277966	0.0280037	0.0908832	0.00948472	0.029274	0.0281231	0.0399278	0.0386308	0.0134767	0.133373	0.00898021	0.00713687	0.0594415	0.052355	0.0391942	0.0205731	3.11666
110	-15942	-15924.3	-17.6712	0.119371	0.112821	0.0715073	0.12007	0.193356	0.0842708	0.095871	0.139833	0.178955	0.107191	0.106953	0.0686969	0.115753	0.0909691	0.0830195	0.0754288	0.0738313	0.121409	0.123503	0.0934094	0.0903555	0.106077	0.0753543	0.0697775	0.0185995	0.020462	0.0197157	0.0222441	0.0382207	0.100977	0.00930295	0.0296372	0.0270426	0.0352065	0.0303344	0.0140979	0.121313	0.0234409	0.00541813	0.0546936	0.0458277	0.0375166	0.0135393	3.18538
120	-15920.1	-15903	-17.0631	0.130881	0.104403	0.0715073	0.111712	0.133338	0.0827711	0.109358	0.114639	0.182603	0.100856	0.106953	0.0791693	0.134898	0.0853428	0.046573	0.0743999	0.0824177	0.110285	0.102328	0.0654981	0.120875	0.100068	0.0830219	0.0646551	0.00996008	0.0238984	0.0412356	0.0241121	0.0242174	0.12462	0.0216594	0.0323987	0.0250378	0.030421	0.0362572	0.0132926	0.147093	0.0163833	0.00434442	0.0552991	0.0561866	0.0264386	0.0131583	3.12457
130	-15865.1	-15848.3	-16.8094	0.0938614	0.0843559	0.0713221	0.115981	0.152916	0.101965	0.089263	0.12977	0.164358	0.0879997	0.107528	0.090407	0.140358	0.0786533	0.0500133	0.102293	0.0775738	0.11417	0.135356	0.108795	0.113972	0.0740811	0.076696	0.0664064	0.0149801	0.0168544	0.0329504	0.0411629	0.0370305	0.0891929	0.0220935	0.0287723	0.0425888	0.040624	0.0316326	0.0156678	0.110038	0.0134792	0.00907242	0.0574105	0.0449922	0.0136314	0.00892003	3.09919
140	-15837.9	-15820.5	-17.3452	0.119649	0.0989372	0.0847408	0.131869	0.143838	0.102324	0.0903868	0.128757	0.187663	0.0879997	0.108286	0.070923	0.114306	0.0693137	0.0499543	0.0954663	0.0717332	0.100301	0.127643	0.0782197	0.102413	0.100152	0.0986725	0.0631672	0.0328353	0.0191233	0.0399848	0.0374584	0.0253688	0.0890887	0.0179344	0.0292584	0.0263819	0.0156686	0.034557	0.0732157	0.115418	0.041335	0.00624413	0.0565972	0.053323	0.00795509	0.00431014	3.15278
150	-15833.5	-15816.8	-16.692	0.134314	0.10413	0.0757398	0.130649	0.161647	0.104709	0.098773	0.128757	0.159497	0.107812	0.0925116	0.0813878	0.124469	0.066987	0.0602875	0.0964123	0.0748883	0.12286	0.0975178	0.0886035	0.111553	0.0806964	0.0806878	0.0515723	0.0220929	0.0165147	0.0313404	0.0371995	0.0260024	0.0810182	0.0144443	0.0372122	0.0313254	0.0272799	0.0421461	0.0622183	0.10978	0.0193904	0.00505146	0.040999	0.0312385	0.0105746	0.00516141	3.08745
160	-15812.3	-15796.6	-15.6558	0.101811	0.0962567	0.0817175	0.120813	0.161647	0.106099	0.0934424	0.12962	0.148453	0.0949365	0.0961276	0.0762818	0.113623	0.0635392	0.0484919	0.0810393	0.0826965	0.109393	0.121461	0.0770085	0.104199	0.0893693	0.0719929	0.0799806	0.0357726	0.0211726	0.0482551	0.0295601	0.04219	0.0706066	0.00799823	0.0330167	0.0263822	0.0248842	0.0361319	0.049685	0.105213	0.0197668	0.0110577	0.0350406	0.0208407	0.0113283	0.00493261	2.98383
170	-15812.8	-15796.3	-16.4242	0.113698	0.109185	0.0678885	0.140406	0.131001	0.0986761	0.0874254	0.126245	0.173453	0.0785948	0.0961276	0.0724525	0.114123	0.0905278	0.0401771	0.0916824	0.0759562	0.114138	0.117664	0.086172	0.114371	0.0941499	0.0632161	0.0777761	0.0303757	0.017433	0.0519535	0.037648	0.0208369	0.0552218	0.0199119	0.0397444	0.0355672	0.044657	0.0272413	0.0626897	0.105213	0.0323595	0.0376031	0.0298405	0.027355	0.00258124	0.00733811	3.06068
180	-15812.9	-15796.3	-16.583	0.0967337	0.0848516	0.075652	0.141936	0.149067	0.108677	0.10352	0.126089	0.186423	0.0685205	0.107563	0.077961	0.114123	0.0842386	0.0603887	0.0727786	0.0755111	0.0903597	0.124892	0.0819416	0.127667	0.108238	0.0712887	0.0617689	0.0265814	0.0174033	0.0322839	0.0344729	0.0396867	0.0951141	0.0237311	0.0367179	0.0281641	0.0257964	0.0469956	0.0503283	0.0844994	0.0223854	0.027302	0.0414275	0.0169719	0.0178373	0.0086632	3.07655
190	-15814.5	-15798.6	-15.9091	0.0970038	0.103709	0.0660566	0.114261	0.129426	0.106356	0.0880829	0.0994442	0.149518	0.0814852	0.074727	0.0733311	0.106138	0.0812521	0.049922	0.0709673	0.0728466	0.111187	0.127161	0.0993192	0.104163	0.0882179	0.0932649	0.0658389	0.0482331	0.0240588	0.0303322	0.0337919	0.0239834	0.0798528	0.0363987	0.0356376	0.0370587	0.0284504	0.0279085	0.0587075	0.0991367	0.0342802	0.0351244	0.0510103	0.0446339	0.0167668	0.0101209	3.00916
